channel,unionname,org,name of the channel if differs from unionname,country
skolelederforbundet8385,Skolelederforbundet ,YS,,norway
skoleneslandsforbund483,Skolenes landsforbund (SL),LO Norge,,norway
skoleneslandsforbundsl565,Skolenes landsforbund (SL),LO Norge,,norway
teknawebmaster,Tekna,Akademikerne,,norway
Utdanningsforbundet,Utdanningsforbundet,Unio,,norway
yrkestrafikkforbundetytf4886,Yrkestrafikkforbundet (YTF),YS,,norway
YTFNorge,Yrkestrafikkforbundet (YTF),YS,,norway
ysnorge,YS – Yrkesorganisasjonenes Sentralforbund,YS,,norway
Collettiva,Confederazione Generale Italiana del Lavoro (CGIL),CGIL,Collettiva,italy
"filcamscgil,""Federazione Italiana Lavoratori Commercio, Alberghi, Mense e Servizi"",CGIL,filcamscgil,italy"
"FILCTEMCGIL,""Federazione Italiana Lavoratori della Chimica, del Tessile, dell'Energia, delle Manifatture"",CGIL,FILCTEMCGIL,italy"
"FilleaCgilNazionale,""Federazione Italiana dei Lavoratori del Legno, dell'Edilizia, delle industrie Affini ed estrattive"",CGIL,FilleaCgil,italy"
cgilemiliaromagna,Confederazione Generale Italiana del Lavoro (CGIL),CGIL,CGIL Emilia Romagna,italy
Fiom-Cgil,Federazione Impiegati e Operai Metallurgici,CGIL,Fiom Nazionale,italy
cgilfisac,Federazione Italiana Sindacale Lavoratori Assicurazioni e Credito,CGIL,Fisac Cgil,italy
sindacatoflcgil,Federazione Lavoratori della Conoscenza Cgil,CGIL,,italy
FunzionePubblicaCgil,Funzione Pubblica,CGIL,FunzionePubblicaCgil,italy
cgilprato5615,Confederazione Generale Italiana del Lavoro (CGIL),CGIL,CGIL Prato,italy
SlcCgilNazionale,Sindacato Lavoratori della Comunicazione,CGIL,SlcCgilNazionale,italy
CGILRomaLazio,Confederazione Generale Italiana del Lavoro (CGIL),CGIL,CGIL Roma Lazio,italy
SpiCgilNazionaleOfficial,Sindacato Pensionati Italiani,CGIL,Spi Cgil Nazionale,italy
CislItalia,Confederazione Italiana Sindacati Lavoratori,CISL,,italy
sindacatocislveneto,Confederazione Italiana Sindacati Lavoratori,CISL,Sindacato CISL Veneto,italy
FaiCislChannel,Federazione agricola alimentare ambientale industriale Italiana (FAI),CISL,Fai Cisl,italy
FimCislStampa,Federazione Italiana Metalmeccanici (FIM),CISL,Fim Cisl Stampa,italy
PensionatiCisl,Federazione nazionale pensionati (FNP),CISL,FNP CISL Nazionale,italy
"FemcaCislNazionale,""Federazione energia, moda, chimica e affini (FEMCA)"",CISL,Femca Cisl Nazionale,italy"
nazionaleflaeicisl4122,Federazione lavoratori aziende elettriche italiane (FLAEI),CISL,Nazionale Flaeicisl,italy
FIRSTCISLvideo,Federazione Italiana Reti dei Servizi del Terziario (FIRST),CISL,FIRST CISL,italy
UfficioStampaFilca,Federazione italiana lavoratori costruzioni e affini (FILCA),CISL,Filca Cisl Nazionale,italy
UciIt,Unione generale coltivatori  (UGC),CISL,Unione Coltivatori Italiani,italy
SuperUfficiostampa,Sindacato della scuola SCUOLA,CISL,Cisl Scuola,italy
cislfederazioneuniversita8460,Sindacato dell'Università,CISL,Cisl Federazione Università,italy
SegrGenSLPCisl,Federazione dei lavoratori delle poste (SLP),CISL,SegrGenSLPCisl,italy
FitCislNaz,Federazione italiana trasporti (FIT),CISL,FIT-CISL Nazionale,italy
FirCisl,Federazione innovazione e ricerca (FIR),CISL,FirCisl,italy
smisindacatomediciitaliani6627,Sindacato dei medici,CISL,SMI Sindacato Medici Italiani,italy
